Session,Class,Course Title,Instructor,Date,Start Time,End Time,Building & Room,Campus
Spring 2025,EENG 755 M01,Computer Networks,Alawiye,05/14/2025,5:45:00 PM,8:24:00 PM,"26 W. 61st St., Rm. 409",New York City
Spring 2025,EENG 755 W01,Computer Networks,Alawiye,05/14/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,EENG 765 M01,Microwave Circts,Khalaj Amineh,05/12/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 405",New York City
Spring 2025,EENG 765 W01,Microwave Circts,Khalaj Amineh,05/12/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 234",Long Island
Spring 2025,EENG 770 M01,Digital Communications,Chalise,05/15/2025,5:45:00 PM,8:24:00 PM,"16 W. 61st St., Rm. 722",New York City
Spring 2025,EENG 770 W01,Digital Communications,Chalise,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 216A",Long Island
Spring 2025,EENG 860 W01,Special Topics,Goldsmith,05/16/2025,3:00:00 PM,5:00:00 PM,Zoom,Long Island
Spring 2025,ENGR 610 W01,Intro to PhD Studies in Engr,Yu,05/14/2025,10:30:00 AM,12:30:00 PM,Zoom,Long Island
Spring 2025,ENGR 800 W01,Doctoral Seminar,Yu,05/16/2025,12:45:00 PM,2:45:00 PM,Zoom,Long Island
Spring 2025,ENGR 860 W01,Independent Research,Yu,05/17/2025,9:00:00 AM,12:00:00 PM,Zoom,Long Island
Spring 2025,ENGR 861 W01,PhD Dissertation,Yu,05/17/2025,1:00:00 PM,2:00:00 PM,Zoom,Long Island
Spring 2025,ENGY 710 M01,Power Plant Systems,Amundsen,05/12/2025,5:45:00 PM,8:24:00 PM,"Guiliano Global Ctr., Rm. 406",New York City
Spring 2025,ENGY 710 W01,Power Plant Systems,Amundsen,05/12/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,ENGY 740 M01,Solar Energy Technology,Amundsen,05/13/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,ENGY 740 W01,Solar Energy Technology,Amundsen,05/13/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,ENGY 775 M01,Alternative Energy Systems,Johrden,05/15/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,ENGY 775 W01,Alternative Energy Systems,Johrden,05/15/2025,5:45:00 PM,8:24:00 PM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,ENGY 830 M01,Internship Program,Pego,05/14/2025,8:35:00 PM,11:15:00 PM,"Guiliano Global Ctr., Rm. 701",New York City
Spring 2025,ENGY 830 W01,Internship Program,Pego,05/14/2025,8:35:00 PM,11:15:00 PM,"Harry J. Schure Hall, Rm. 203",Long Island
Spring 2025,ENGY 890 M01,Practicum or Other Research,Kamel,05/15/2025,8:35:00 PM,11:15:00 PM,Zoom,New York City
Spring 2025,ENVT 601 M01,Intro Envir Tech,Nadler,05/14/2025,5:45:00 PM,8:24:00 PM,Zoom,New York City
Spring 2025,ENVT 601 W01,Intro Envir Tech,Nadler,05/14/2025,5:45:00 PM,8:24:00 PM,"Anna Rubin Hall, Rm. 303",Long Island
Spring 2025,ETCS 105 M01,Career Discovery,Fischman,05/14/2025,8:15:00 AM,10:15:00 AM,"Guiliano Global Ctr., Rm. 606",New York City
Spring 2025,ETCS 105 M02,Career Discovery,Fischman,05/14/2025,5:30:00 PM,7:20:00 PM,"Guiliano Global Ctr., Rm. 408",New York City
Spring 2025,ETCS 105 W01,Career Discovery,Doxey,05/13/2025,5:45:00 PM,7:45:00 PM,"Harry J. Schure Hall, Rm. B11",Long Island
Spring 2025,ETCS 108 M01,"Computer, Internet and Society",Billis,05/14/2025,10:30:00 AM,12:30:00 PM,"16 W. 61st St., Rm. 723",New York City
